nodeID nodeLabel nodeLong nodeLat
120 node_120 -43.5964184 -22.911613
121 node_121 -43.595553 -22.9117406
122 node_122 -43.5973623 -22.9118331
123 node_123 -43.3548292 -23.0000699
124 node_124 -43.3237895 -22.8920974
125 node_125 -43.5800372 -22.9126683
126 node_126 -43.1980993 -22.9520096
127 node_127 -43.5975187 -22.913047
128 node_128 -43.332545 -22.8250146
129 node_129 -43.597262 -22.9130724
130 node_130 -43.5953669 -22.9130856
131 node_131 -43.5953225 -22.9131689
132 node_132 -43.4966688 -22.9944256
133 node_133 -43.3536519 -23.0000838
134 node_134 -43.4412876 -22.8780865
135 node_135 -43.4093465 -22.8826263
136 node_136 -43.3414447 -23.0000849
137 node_137 -43.4662821 -22.8448439
138 node_138 -43.2100179 -22.9142044
139 node_139 -43.4553994 -22.8606255
140 node_140 -43.4649714 -22.8443392
141 node_141 -43.3909429 -22.8326794
142 node_142 -43.6847244 -22.9155629
143 node_143 -43.5801429 -22.9139578
144 node_144 -43.4887874 -22.8604989
145 node_145 -43.3130385 -22.8401242
146 node_146 -43.4604346 -22.8647774
147 node_147 -43.6740777 -22.8921442
148 node_148 -43.6735029 -22.8924545
149 node_149 -43.3212901 -22.8887222
150 node_150 -43.4533118 -22.861033
151 node_151 -43.1766125 -22.9039789
152 node_152 -43.6737315 -22.8926739
153 node_153 -43.4095597 -22.8423188
154 node_154 -43.4895175 -22.8983888
155 node_155 -43.238839 -22.8885747
156 node_156 -43.3125671 -22.8724565
157 node_157 -43.4491276 -22.8705856
158 node_158 -43.2999251 -22.8137037
159 node_159 -43.3130203 -22.8729828
160 node_160 -43.3138084 -22.8733787
161 node_161 -43.3135229 -22.8735614
162 node_162 -43.3133506 -22.8730356
163 node_163 -43.4647717 -23.0179412
164 node_164 -43.4377155 -22.8712373
165 node_165 -43.3137704 -22.8739438
166 node_166 -43.3141216 -22.8736133
167 node_167 -43.4395071 -22.8711582
168 node_168 -43.2218389 -22.9693176
169 node_169 -43.3136739 -22.874276
170 node_170 -43.442228 -22.8709763
171 node_171 -43.3137063 -22.8743287
172 node_172 -43.313038 -22.8729663
173 node_173 -43.3472848 -22.9998272
174 node_174 -43.1822781 -22.9477255
175 node_175 -43.3138108 -22.8742064
176 node_176 -43.3144262 -22.8750259
177 node_177 -43.1822896 -22.94755
178 node_178 -43.1821443 -22.9477491
179 node_179 -43.2107603 -22.9016481
180 node_180 -43.3413404 -23.0001495
181 node_181 -43.719529 -22.9024549
182 node_182 -43.3546022 -22.9529629
183 node_183 -43.4092458 -22.8796225
184 node_184 -43.3531883 -22.9533122
185 node_185 -43.4067997 -22.8358062
